epoch,step,train_loss,val_loss
0,9,0.02730373479425907,
0,19,0.016191862523555756,
0,29,0.03155570477247238,
0,39,0.005531043279916048,
0,49,0.026633206754922867,
0,59,0.03651560842990875,
0,69,0.03712248057126999,
0,79,0.06055491417646408,
0,89,0.1744367629289627,
0,99,0.0744289979338646,
0,109,0.05755136162042618,
0,119,0.047275789082050323,
0,129,0.07335539162158966,
0,139,0.24863280355930328,
0,149,0.012694464065134525,
0,159,0.0579681396484375,
0,169,0.019536565989255905,
0,179,0.03177068755030632,
0,189,0.1366005390882492,
0,199,0.030850306153297424,
0,209,0.06166938319802284,
0,219,0.05385502427816391,
0,229,0.03857529163360596,
0,239,0.04046441242098808,
0,249,0.04420659318566322,
0,259,0.024792222306132317,
0,269,0.02517642080783844,
0,279,0.04368338733911514,
0,289,0.08674345910549164,
0,299,0.018306195735931396,
0,309,0.03772289305925369,
0,319,0.03553963080048561,
0,329,0.02341492846608162,
0,339,0.08069677650928497,
0,349,0.0842353105545044,
0,359,0.10354523360729218,
0,369,0.023784706369042397,
0,379,0.06775419414043427,
0,380,,0.06277478486299515
1,389,0.02114141918718815,
1,399,0.05797838419675827,
1,409,0.03197789564728737,
1,419,0.06914596259593964,
1,429,0.04400090500712395,
1,439,0.09227082133293152,
1,449,0.013847475871443748,
1,459,0.026149608194828033,
1,469,0.027574673295021057,
1,479,0.07478486001491547,
1,489,0.05826317518949509,
1,499,0.04130469262599945,
1,509,0.02328089252114296,
1,519,0.7704049944877625,
1,529,0.07715172320604324,
1,539,0.02556362748146057,
1,549,0.017696170136332512,
1,559,0.027021188288927078,
1,569,0.023589681833982468,
1,579,0.03129318356513977,
1,589,0.031104356050491333,
1,599,0.13475404679775238,
1,609,0.10203029215335846,
1,619,0.06587879359722137,
1,629,0.04662177339196205,
1,639,0.0520300455391407,
1,649,0.01816941425204277,
1,659,0.02293209359049797,
1,669,0.07927563786506653,
1,679,0.06421637535095215,
1,689,0.017494045197963715,
1,699,0.037226639688014984,
1,709,0.039322663098573685,
1,719,0.029526598751544952,
1,729,0.031131647527217865,
1,739,0.09131543338298798,
1,749,0.0343543104827404,
1,759,0.015819549560546875,
1,761,,0.05823267996311188
2,769,0.05334709584712982,
2,779,0.01370942685753107,
2,789,0.071222685277462,
2,799,0.009741080924868584,
2,809,0.11916951835155487,
2,819,0.15987016260623932,
2,829,0.024345409125089645,
2,839,0.04577826336026192,
2,849,0.08582839369773865,
2,859,0.012469340115785599,
2,869,0.015497928485274315,
2,879,0.029577553272247314,
2,889,0.07051999866962433,
2,899,0.01824030466377735,
2,909,0.05325770750641823,
2,919,0.02519618719816208,
2,929,0.03187187761068344,
2,939,0.034294795244932175,
2,949,0.05111405625939369,
2,959,0.03085920587182045,
2,969,0.018676521256566048,
2,979,0.1036006286740303,
2,989,0.04731150344014168,
2,999,0.03564899042248726,
2,1009,0.04717940464615822,
2,1019,0.03424485772848129,
2,1029,0.058091696351766586,
2,1039,0.0240914486348629,
2,1049,0.02633853629231453,
2,1059,0.017244137823581696,
2,1069,0.040132828056812286,
2,1079,0.05545368045568466,
2,1089,0.012327667325735092,
2,1099,0.045891039073467255,
2,1109,0.024725688621401787,
2,1119,0.04082108289003372,
2,1129,0.008143738843500614,
2,1139,0.025177303701639175,
2,1142,,0.051978349685668945
3,1149,0.06393107026815414,
3,1159,0.015935752540826797,
3,1169,0.0944078341126442,
3,1179,0.030865974724292755,
3,1189,0.013764630071818829,
3,1199,0.02011781558394432,
3,1209,0.03891301155090332,
3,1219,0.042730662971735,
3,1229,0.011347014456987381,
3,1239,0.01743387058377266,
3,1249,0.018592117354273796,
3,1259,0.0781138688325882,
3,1269,0.024043269455432892,
3,1279,0.014959740452468395,
3,1289,0.013876086100935936,
3,1299,0.017683055251836777,
3,1309,0.023396970704197884,
3,1319,0.008166944608092308,
3,1329,0.017584312707185745,
3,1339,0.016427449882030487,
3,1349,0.02377818338572979,
3,1359,0.06636008620262146,
3,1369,0.030434362590312958,
3,1379,0.024368982762098312,
3,1389,0.014837495982646942,
3,1399,0.00782456248998642,
3,1409,0.01662995107471943,
3,1419,0.07735949754714966,
3,1429,0.02259107120335102,
3,1439,0.04542817920446396,
3,1449,0.04659540206193924,
3,1459,0.04669924080371857,
3,1469,0.030840355902910233,
3,1479,0.023910023272037506,
3,1489,0.0064496384002268314,
3,1499,0.03682335093617439,
3,1509,0.045832931995391846,
3,1519,0.004381911363452673,
3,1523,,0.04444710537791252
4,1529,0.03447233512997627,
4,1539,0.008998236618936062,
4,1549,0.020772039890289307,
4,1559,0.020733188837766647,
4,1569,0.027681855484843254,
4,1579,0.04154020547866821,
4,1589,0.011102234944701195,
4,1599,0.0055768052116036415,
4,1609,0.025705622509121895,
4,1619,0.04906454682350159,
4,1629,0.008563014678657055,
4,1639,0.027521608397364616,
4,1649,0.03057151287794113,
4,1659,0.026106107980012894,
4,1669,0.038176946341991425,
4,1679,0.009967077523469925,
4,1689,0.009367439895868301,
4,1699,0.010886487551033497,
4,1709,0.020171884447336197,
4,1719,0.04747438430786133,
4,1729,0.032597970217466354,
4,1739,0.015634380280971527,
4,1749,0.041829947382211685,
4,1759,0.024062342941761017,
4,1769,0.018907085061073303,
4,1779,0.062324732542037964,
4,1789,0.02928365394473076,
4,1799,0.01408102735877037,
4,1809,0.022802896797657013,
4,1819,0.009721730835735798,
4,1829,0.011205364018678665,
4,1839,0.018038403242826462,
4,1849,0.01150758471339941,
4,1859,0.013835943304002285,
4,1869,0.012836494483053684,
4,1879,0.01211883407086134,
4,1889,0.028166258707642555,
4,1899,0.030267056077718735,
4,1904,,0.0415181964635849
