epoch,step,train_loss,val_loss,val_mae
0,9,0.026898197829723358,,
0,19,0.01612197980284691,,
0,29,0.03130456432700157,,
0,39,0.005122577305883169,,
0,49,0.02443307638168335,,
0,59,0.03855961933732033,,
0,69,0.036989726126194,,
0,79,0.06046012043952942,,
0,89,0.17478042840957642,,
0,99,0.06746182590723038,,
0,109,0.055863700807094574,,
0,119,0.049425166100263596,,
0,129,0.07432717084884644,,
0,139,0.23076823353767395,,
0,149,0.011731569655239582,,
0,159,0.053462304174900055,,
0,169,0.019006023183465004,,
0,179,0.03073444589972496,,
0,189,0.12950779497623444,,
0,199,0.0283188596367836,,
0,209,0.05717265233397484,,
0,219,0.05140761658549309,,
0,229,0.03479911759495735,,
0,239,0.04511723294854164,,
0,249,0.03833608701825142,,
0,259,0.025514982640743256,,
0,269,0.022740909829735756,,
0,279,0.042098160833120346,,
0,289,0.0854596495628357,,
0,299,0.019122110679745674,,
0,309,0.03297954052686691,,
0,319,0.032569389790296555,,
0,329,0.027129117399454117,,
0,339,0.0752924382686615,,
0,349,0.07654216885566711,,
0,359,0.09821249544620514,,
0,369,0.02359037660062313,,
0,379,0.05634316802024841,,
0,380,,0.056465838104486465,0.10687560588121414
1,389,0.019746631383895874,,
1,399,0.05431588739156723,,
1,409,0.029692571610212326,,
1,419,0.060340188443660736,,
1,429,0.03454515337944031,,
1,439,0.07995910942554474,,
1,449,0.012711375020444393,,
1,459,0.023967629298567772,,
1,469,0.02502049319446087,,
1,479,0.06651569157838821,,
1,489,0.04782750457525253,,
1,499,0.05366366729140282,,
1,509,0.015614720061421394,,
1,519,0.5055466890335083,,
1,529,0.06506455689668655,,
1,539,0.02810944989323616,,
1,549,0.0248652845621109,,
1,559,0.04900037869811058,,
1,569,0.01846543326973915,,
1,579,0.034633807837963104,,
1,589,0.027995720505714417,,
1,599,0.10724698007106781,,
1,609,0.07427173107862473,,
1,619,0.05503567308187485,,
1,629,0.046896304935216904,,
1,639,0.04061029851436615,,
1,649,0.0214797742664814,,
1,659,0.017864104360342026,,
1,669,0.09684783220291138,,
1,679,0.05544665828347206,,
1,689,0.016210341826081276,,
1,699,0.0326528400182724,,
1,709,0.036400459706783295,,
1,719,0.01593962498009205,,
1,729,0.03005204163491726,,
1,739,0.08307807892560959,,
1,749,0.03054005466401577,,
1,759,0.013200544752180576,,
1,761,,0.04589283466339111,0.09693526476621628
2,769,0.041165608912706375,,
2,779,0.011059792712330818,,
2,789,0.0507260337471962,,
2,799,0.01056160219013691,,
2,809,0.07145819813013077,,
2,819,0.12513582408428192,,
2,829,0.02060927450656891,,
2,839,0.029458191245794296,,
2,849,0.0427631139755249,,
2,859,0.012674313969910145,,
2,869,0.016153234988451004,,
2,879,0.018859365954995155,,
