Price,Close,High,Low,Open,Volume
Ticker,UNH,UNH,UNH,UNH,UNH
Date,,,,,
2006-05-30,33.445682525634766,33.81618590951832,33.03658264685778,33.044303123636126,8673000
2006-05-31,33.93194580078125,34.07860532485049,33.546004643963,33.76985122159695,9254900
2006-06-01,35.29046630859375,35.429405384178594,34.02457957059658,34.07089063279296,11753300
2006-06-02,36.26304626464844,36.56408002471247,35.72272782490598,35.72272782490598,12669300
2006-06-05,35.676414489746094,36.363389528303564,35.53747538706049,36.04691778207489,7065100
2006-06-06,35.64554977416992,36.06236721430255,35.197856313768355,35.73817489047739,6846900
2006-06-07,35.72272872924805,36.18586009410829,35.65325917174395,35.88482632642341,5290700
2006-06-08,35.69956588745117,36.23988423032302,35.34450064152038,36.06235160735763,6128300
2006-06-09,35.329078674316406,35.738175645778085,35.213295068110554,35.5066113778658,5693100
2006-06-12,34.85822296142578,35.62238813761674,34.77331539246025,35.32907188423549,4526700
2006-06-13,35.066619873046875,35.236434953966516,34.54173957247513,34.595771108313585,6359800
2006-06-14,34.71928024291992,34.94312691164749,34.38737047742692,34.54946512257507,5954700
2006-06-15,34.541744232177734,34.85049843104679,34.11720941710649,34.73471487034632,7777500
2006-06-16,34.18669509887695,34.72701372964949,34.117225518570486,34.657544149343025,7265100
2006-06-19,33.576900482177734,34.34878325188297,33.43024381595341,34.34106571976552,6743700
2006-06-20,33.73897933959961,34.09404454052227,33.57688474063462,33.84704240557627,5288500
2006-06-21,34.016868591308594,34.42596545887706,33.57689571065984,33.57689571065984,5706300
2006-06-22,34.29475021362305,34.88910027398765,34.1172175375919,34.1172175375919,5785900
2006-06-23,34.912254333496094,35.25960213904579,34.04002605389327,34.070902068719654,6156800
2006-06-26,34.688411712646484,35.27504428518032,34.46456794013936,34.819633318805046,4391200
2006-06-27,34.13264846801758,34.71156040027297,34.09405198360187,34.51858975618784,4393100
2006-06-28,34.29475021362305,34.42596886545082,33.11377056917722,34.341064237826416,7270400
2006-06-29,34.742435455322266,35.367661437986264,34.29474506654319,34.29474506654319,5401800
2006-06-30,34.56488800048828,34.966267144587626,34.17894685552706,34.75014104564846,7551500
2006-07-03,34.742435455322266,34.788749472574665,34.27158953016625,34.618934353814396,2175800
2006-07-05,34.81962203979492,34.91996759499989,34.18667858911417,34.73471448881366,5041600
2006-07-06,34.60350036621094,35.22100589290972,34.37193321726261,34.60350036621094,5323200
2006-07-07,35.035743713378906,35.19012079130469,34.74242755976971,34.750148033139816,4568800
2006-07-10,36.139549255371094,36.23989483493163,35.08207073761432,35.08207073761432,6973100
2006-07-11,37.11983108520508,37.78365053390819,36.2012919320567,36.232164995521025,15099500
2006-07-12,37.096683502197266,37.77593815596412,36.88055434463616,37.35140326123513,6576000
2006-07-13,37.058082580566406,37.62155947352856,36.90370841512312,37.104396596898475,5419500
2006-07-14,36.7030143737793,36.98089256070479,36.255324029453526,36.94229902240919,5044400
2006-07-17,36.78020477294922,37.359116686828806,36.48688857879071,36.52548211748303,4742500
2006-07-18,37.35911560058594,37.67558731985854,36.57179506726181,36.77248322932568,9171400
2006-07-19,39.31195831298828,39.47405285854271,38.32395009875544,38.52463816308521,17651000
2006-07-20,38.756229400634766,40.091586109347375,38.18503785538137,39.481801018252334,10538600
2006-07-21,38.59413528442383,38.90288954449876,38.09241034792678,38.90288954449876,7790900
2006-07-24,39.21162796020508,39.27337996970438,38.54009105163848,38.67130965507768,7216400
2006-07-25,39.74423599243164,39.88317215017465,38.96463292491045,39.21935559385255,5764600
2006-07-26,39.00322723388672,39.69020228377928,38.81025658191697,39.55898365379911,5497400
2006-07-27,38.177310943603516,38.24678049220685,36.587234744791225,37.59068149000738,15388600
2006-07-28,36.9345703125,39.01093577710184,36.64125713125688,38.2699294068599,10645700
2006-07-31,36.919151306152344,37.55209489062359,36.486895930013915,37.281934176350006,6357800
2006-08-01,36.91142272949219,37.05036182188411,36.63354454470834,36.66442055290615,4002600
2006-08-02,37.49032974243164,38.28536771057593,37.38998420112772,37.822239426015685,7799900
2006-08-03,36.87283706665039,37.644719769462,36.764773959376576,37.54437419363681,5074900
2006-08-04,37.482635498046875,37.89945003527934,36.98091042435085,37.27422675718082,5253900
2006-08-07,37.4285888671875,37.775933684350605,37.15842818834029,37.15842818834029,2977800
2006-08-08,38.14642333984375,38.37026992225014,37.65241911970373,37.69101559180632,4884300
2006-08-09,37.80680847167969,38.57097352260338,37.74505939632636,38.49378349778876,3533400
2006-08-10,36.58722686767578,36.93457159141191,35.892531531208164,36.594944396082006,10786800
2006-08-11,36.71845626831055,36.84967784581636,36.26304540137602,36.340235430643716,3743600
2006-08-14,36.78792190551758,37.158425173058674,36.67213834619301,37.04264455823233,4225700
2006-08-15,37.15071105957031,37.2742121601078,36.85739484160685,37.2742121601078,3074000
2006-08-16,37.15843963623047,37.436317931169356,36.92687537194785,37.27422324062146,4098200
2006-08-17,37.85313415527344,38.11557443154692,37.14300043056313,37.15843844028502,5228300
2006-08-18,38.208194732666016,38.23907074822064,37.45175001857129,37.78365982453618,5029900
2006-08-21,38.254493713378906,38.54008938370854,37.83767650079117,37.83767650079117,3092200
2006-08-22,38.31625747680664,38.733074849317966,38.169600821070674,38.20819436789605,3905500
2006-08-23,38.31625747680664,38.55554217832215,38.169600821070674,38.32397795287104,2213900
2006-08-24,39.4895133972168,39.59757648927335,38.31625150082001,38.35484504162615,5342400
2006-08-25,39.27338790893555,39.420044544396646,38.70991395858693,39.17304234546297,2908200
2006-08-28,39.620750427246094,39.94493982989706,38.95693066619937,39.010962233307865,4092200
2006-08-29,39.38916778564453,39.821423097821814,39.05725803503488,39.1730416018051,3936000
2006-08-30,39.94492721557617,40.19964990393339,39.35057722057462,39.58214142712751,4515800
2006-08-31,40.09931945800781,40.16106856227754,39.55900080927388,39.94494228058387,4325200
2006-09-01,39.98350524902344,40.15332030872099,39.62072254580251,40.09928877963495,4312600
2006-09-05,39.13444137573242,40.1224499839299,39.095847841568066,40.06070091816651,4540100
