Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2006-05-30,16.18785285949707,16.61440146801931,16.180860106306227,16.467556318474237,52497500
2006-05-31,15.838224411010742,16.327706501873276,15.838224411010744,16.26477305208434,120202000
2006-06-01,15.957107543945312,15.971093059270952,15.81725639188537,15.901166816374905,80230800
2006-06-02,15.915139198303223,16.075968490633024,15.852205765003553,15.992058135387499,73935600
2006-06-05,15.733333587646484,15.894162899780268,15.726340834893117,15.887170147026902,63914100
2006-06-06,15.47461986541748,15.775301813765925,15.369731154855362,15.768309055230809,126601300
2006-06-07,15.411678314208984,15.656418045132414,15.39070005138776,15.488595943757131,73827500
2006-06-08,15.460627555847168,15.530552436980614,15.362730321543436,15.404686850701442,104126900
2006-06-09,15.327770233154297,15.516570642143519,15.306791965356,15.488599618412454,52573800
2006-06-12,15.180915832519531,15.453627813816686,15.173924414552564,15.355730623775985,74309700
2006-06-13,15.041069030761719,15.404684218954474,15.006105262436614,15.194905610198013,113175300
2006-06-14,15.299790382385254,15.341746893775523,15.069034904662976,15.097005912256488,86081500
2006-06-15,15.432656288146973,15.474611482898439,15.243855911167978,15.390701093395505,121577300
2006-06-16,15.453635215759277,15.579502139148303,15.236865144217985,15.36273073387536,147506500
2006-06-19,15.768304824829102,15.803268608124423,15.46762429088109,15.48160847046726,129640900
2006-06-20,15.775297164916992,15.91514962694134,15.733341959802457,15.761312985700096,90598500
2006-06-21,16.13890838623047,16.18785633534514,15.754316214273846,15.810256918080837,91660300
2006-06-22,15.999048233032227,16.20183401997847,15.929123387342703,16.12491508924287,76590600
2006-06-23,15.733333587646484,15.992060104596183,15.733333587646484,15.97807459908945,60532600
2006-06-26,15.957107543945312,16.0060555138529,15.82424781581604,15.838233331141678,53644100
2006-06-27,15.985068321228027,16.194845581625717,15.971082814873169,16.006045247029018,84759100
2006-06-28,16.194849014282227,16.257782472487154,16.020034148986667,16.05499658855315,71906500
2006-06-29,16.41161346435547,16.52349483320533,16.23679865881117,16.306724847775115,121395500
2006-06-30,16.292741775512695,16.53748280655732,16.292741775512695,16.46056518757228,73048800
2006-07-03,16.572450637817383,16.586434814142784,16.39763576329919,16.453576469795745,25711400
2006-07-05,16.327699661254883,16.446573757305035,16.292735907280814,16.418602754125782,53093500
2006-07-06,16.418607711791992,16.509512165842704,16.37665252808541,16.39763078680432,44775200
2006-07-07,16.292741775512695,16.467556607154382,16.292741775512695,16.35567522160221,63168800
2006-07-10,16.43259620666504,16.544477606054453,16.348684490257238,16.383648261148608,50565100
2006-07-11,16.152896881103516,16.341697291496835,15.90116300057909,16.341697291496835,88676300
2006-07-12,15.831230163574219,15.999052235933195,15.817245991176092,15.936120125813444,77379300
2006-07-13,15.565511703491211,15.810252717775876,15.558518950656653,15.642430650940137,73099500
2006-07-14,15.586485862731934,15.768292053690336,15.544529356759185,15.579493111736477,67499400
2006-07-17,15.719351768493652,15.81025624187426,15.56551517303693,15.586493436216653,37053500
2006-07-18,15.901154518127441,15.915140022636432,15.719346960703914,15.796265901772246,65047300
2006-07-19,16.362667083740234,16.404622267604424,15.88717055417525,15.957096749769732,82188200
2006-07-20,15.97807788848877,16.39763380394603,15.92912994286953,16.390641049753068,76605200
2006-07-21,16.69132423400879,16.887116033173253,16.08296790468531,16.83816808338214,175483800
2006-07-24,16.782222747802734,16.85914169552416,16.635378938950453,16.789215500662067,59586700
2006-07-25,16.936059951782227,16.98500922365386,16.712297186722743,16.78222338423665,60075800
2006-07-26,17.040956497192383,17.152837922937664,16.852156091097793,16.866141602748904,54942100
2006-07-27,16.69132423400879,17.201783330018433,16.621398019850794,17.187797820440515,85386800
2006-07-28,16.95704460144043,16.978022868719673,16.82418490946878,16.838170420988277,51705800
2006-07-31,16.824176788330078,17.075910539240375,16.78921436013971,16.831169540714377,40254400
2006-08-01,16.77522850036621,16.922073629866663,16.677332636519985,16.796206757075165,49168700
2006-08-02,16.99201011657715,17.061936353076927,16.80321101187938,16.86614449135598,46462000
2006-08-03,16.929075241088867,17.117875663949732,16.887120036141535,16.9150910619277,43155300
2006-08-04,16.985008239746094,17.124859292941334,16.8871110354051,17.061925852197554,45690400
2006-08-07,16.936059951782227,17.11786753182588,16.915083026139953,16.978016470529344,36862400
2006-08-08,17.019968032836914,17.145834894824873,16.92207217739339,17.054930457286456,58171300
2006-08-09,17.089900970458984,17.22975205726601,17.019974760189708,17.124863408727858,44405700
2006-08-10,17.1038818359375,17.20177904486405,17.019971466836193,17.040949725977153,31753400
2006-08-11,17.082897186279297,17.09688268604955,16.922067940113383,17.082897186279297,30255500
2006-08-14,17.152830123901367,17.20177805869284,17.026963243734034,17.145837371255272,47831900
2006-08-15,17.279159545898438,17.300213716328315,17.152829168748884,17.230030024729384,48994500
2006-08-16,17.335311889648438,17.35636606695034,17.173888944690113,17.272146680456704,52373600
2006-08-17,17.335311889648438,17.370403077580285,17.272146680456704,17.335311889648438,45674800
2006-08-18,18.10030746459961,18.107324629681287,17.531820710708562,17.58094889813657,128414800
2006-08-21,18.331911087036133,18.33892825148779,17.93888294561398,18.009066637913833,88398300
2006-08-22,17.980998992919922,18.423154102373992,17.980998992919922,18.2547139969323,89312400
2006-08-23,18.01608657836914,18.212600664758522,17.910811700841602,18.00204957106075,44648500
2006-08-24,18.065221786499023,18.149442524439735,17.896781649260813,18.12136849891176,35933300
2006-08-25,18.14241600036621,18.24769087228549,18.030122625166634,18.044158293084614,33115900
2006-08-28,18.212600708007812,18.247691887719423,18.030123628493495,18.135398506271027,34190900
2006-08-29,18.135398864746094,18.23365524079496,17.98801296203007,18.19154555658012,42711200
2006-08-30,18.10732650756836,18.17049170899592,17.99503311361777,18.1424190298297,30283100
2006-08-31,18.03714942932129,18.233662257036382,18.023112416300716,18.1564613627097,26380500
2006-09-01,18.135398864746094,18.226636736985366,17.995031465839663,18.17049004515134,31594600
2006-09-05,17.973979949951172,18.219620926383765,17.938887425715855,18.030126650084753,44222400
2006-09-06,17.973979949951172,18.051180825983018,17.903796240123462,17.903796240123462,50160400
2006-09-07,17.84764289855957,18.03713844298679,17.819568889618164,17.882734071093903,51266900
2006-09-08,17.96695899963379,18.100307896292115,17.868701283791616,17.917830811034072,36866800
2006-09-11,18.184528350830078,18.212602368072453,17.84062967146793,17.847648175778524,55608200
2006-09-12,18.19856071472168,18.233651888675677,18.051174839101435,18.177505207163794,52248800
2006-09-13,18.233659744262695,18.317880472136483,18.121366332859687,18.121366332859687,37706700
2006-09-14,18.479293823242188,18.5986056868545,18.233651593611846,18.240670096017563,74324500
2006-09-15,18.844249725341797,18.90741491441403,18.59158896905286,18.654754158125098,126057700
2006-09-18,18.802148818969727,18.97760746190012,18.717928081360125,18.767056287197722,49135000
2006-09-19,18.851268768310547,18.907415455911362,18.75301106102715,18.767048067588007,43039100
2006-09-20,19.075857162475586,19.11094834325891,18.94250826594202,18.956545273712447,71676400
2006-09-21,18.87933349609375,19.124975652942524,18.84424233310481,19.117957152616324,58495100
2006-09-22,18.710908889770508,18.84425782833417,18.58457845730421,18.830220816139434,47712500
