Price,Close,High,Low,Open,Volume
Ticker,PG,PG,PG,PG,PG
Date,,,,,
2006-05-30,30.912853240966797,31.27666726851213,30.88443067665907,31.140235923931304,6971000
2006-05-31,30.838951110839844,31.089072698635515,30.696836128762243,31.0265439280635,11624100
2006-06-01,30.96969223022461,30.98674533172815,30.71388486516036,30.89579184287222,6941200
2006-06-02,30.66840934753418,31.009484390203728,30.583139502615676,30.907161443702417,8577600
2006-06-05,30.230695724487305,30.719571554220636,30.168164792521097,30.58314023279415,7945800
2006-06-06,30.33871078491211,30.412611194996646,29.986266178244357,30.19091213324592,9189300
2006-06-07,30.26479148864746,30.770720209600672,30.219313677617276,30.46943513277915,8439600
2006-06-08,31.11748695373535,31.32213063748894,30.298903544713777,30.412595925800307,15081400
2006-06-09,30.952634811401367,31.265287250203016,30.75935840347822,30.992426821694202,7723700
2006-06-12,30.87305450439453,31.219813183156095,30.787784661509217,31.020853107759937,5924200
2006-06-13,30.770715713500977,31.407389795385505,30.753660452606013,30.878722246164088,10410600
2006-06-14,31.168664932250977,31.225510068664075,30.57746597214176,30.696842059711038,8757100
2006-06-15,31.197078704833984,31.316454758746687,30.679780302709926,31.248240180582616,8548000
2006-06-16,31.27667236328125,31.378995346258964,31.168665733917223,31.20277194924112,10789100
2006-06-19,31.19138526916504,31.83374538136232,31.094748154423915,31.822375926363044,11238100
2006-06-20,31.595001220703125,31.74279983559328,31.185709412542142,31.39603896129049,11377800
2006-06-21,31.73142433166504,31.941753840337306,31.526778466577674,31.560886833592882,8701300
2006-06-22,31.748476028442383,31.788268037284684,31.560885439400344,31.623416358581636,6121900
2006-06-23,31.680269241333008,31.924707166215818,31.549523727547243,31.58363210142707,6917400
2006-06-26,31.828075408935547,31.833759054625524,31.413097712976764,31.685960413155968,5617900
2006-06-27,31.691640853881836,31.833755835289377,31.378988328485747,31.407410891066753,7336400
2006-06-28,31.702999114990234,31.845114046202223,31.54951472906108,31.691629660273065,6487900
2006-06-29,32.39653015136719,32.40221379613774,31.731430951088377,31.97018523299695,10318500
2006-06-30,31.60637092590332,32.51022229234403,31.60637092590332,32.402215687380334,21154000
2006-07-03,32.00428009033203,32.066811003147414,31.845112071166778,31.845112071166778,4592900
2006-07-05,31.793960571289062,31.91333662305555,31.634792502267075,31.663215061949245,9146100
2006-07-06,32.089561462402344,32.26009899696778,31.799645701988954,31.81670097339718,7215400
2006-07-07,32.11797332763672,32.260088253865206,31.975858401408242,32.089550776091365,6834500
2006-07-10,32.390838623046875,32.47610845907685,32.07818617177366,32.07818617177366,6776600
2006-07-11,32.5443229675293,32.595484435353704,32.27714617239051,32.27714617239051,6104000
2006-07-12,32.18050765991211,32.589799384840056,32.12366038228216,32.5443215627361,7060100
2006-07-13,32.140724182128906,32.282839161177755,32.06114014082195,32.180516202782385,9209400
2006-07-14,31.640472412109375,32.038394706197764,31.407403980622217,31.998602693639125,8959100
2006-07-17,31.73142433166504,31.93038438466557,31.577939932849517,31.623417755536458,6167300
2006-07-18,31.725749969482422,31.78827874121692,31.435834186292833,31.63479646600193,7123000
2006-07-19,32.377418518066406,32.49746139094159,31.725754716040775,31.897244845950368,7938400
2006-07-20,32.360267639160156,32.57748961645735,32.11446433920639,32.24594016791873,5748200
2006-07-21,32.051578521728516,32.57176635341817,31.965832388123122,32.49745318300115,8014400
2006-07-24,32.526039123535156,32.57748637143842,32.09731278454628,32.21163806378471,4482400
2006-07-25,32.51460647583008,32.72611086121685,32.13732738107384,32.354547158232165,6701600
2006-07-26,32.39455032348633,32.45171512465559,32.18876358111958,32.38311954386668,7223500
2006-07-27,32.263084411621094,32.577485462600464,32.24022066478021,32.497454716505345,5572500
2006-07-28,32.474586486816406,32.71467215011533,32.38884036100133,32.50888319265079,5886700
2006-07-31,32.125892639160156,32.388844258399736,32.05157946655251,32.245935485254556,7569000
2006-08-01,31.97154426574707,32.05157281319745,31.84006848341939,32.01155853947226,5850700
2006-08-02,33.32059097290039,33.669288528424524,32.851850640081786,33.14338341074172,17707400
2006-08-03,33.98368835449219,34.12087948154718,33.2291306138488,33.41776895870282,12370500
2006-08-04,33.98368835449219,34.16089374198935,33.77789948329605,34.063716875376535,7888800
2006-08-07,33.95512390136719,33.99513818166613,33.6350074783609,33.806497562587055,6377400
2006-08-08,34.1380500793457,34.29810721521996,33.88652923084054,34.155198435156535,9319300
2006-08-09,34.035152435302734,34.28667107992975,33.95512387476754,34.18377659335171,5617000
2006-08-10,34.44673538208008,34.46388592049493,34.05802546139151,34.06945624618117,8648900
2006-08-11,34.44673538208008,34.55534746311845,34.178068327219535,34.29239580065273,8092500
2006-08-14,34.16090393066406,34.726823495242,34.09230834667756,34.452438978681705,8069500
2006-08-15,34.54961395263672,34.65250841320065,34.35525799163975,34.44100410231442,6944700
