Price,Close,High,Low,Open,Volume
Ticker,GS,GS,GS,GS,GS
Date,,,,,
2006-05-30,108.97278594970703,110.51467856998606,108.5509450993196,109.82373675040041,5217200
2006-05-31,109.78733825683594,110.83466544015178,108.47817927769113,110.04190095478552,5262200
2006-06-01,111.67837524414062,111.7074627408988,109.23461489555307,109.7655477198217,4206200
2006-06-02,112.07109832763672,114.18757126099253,111.71472383843361,113.09660720435885,4253400
2006-06-05,109.38734436035156,113.67119687141735,108.9873330136432,112.69660480490877,5400000
2006-06-06,108.543701171875,110.59470870866498,107.27817832722413,110.10741255241395,6562400
2006-06-07,109.06004333496094,110.93650293633209,107.85998725283166,108.55092896975036,4319900
2006-06-08,108.92184448242188,109.5836986557551,105.09620128886642,108.22363371980262,7885500
2006-06-09,109.01638793945312,110.62374633727016,108.36181402416992,109.82370168716051,4407300
2006-06-12,105.45985412597656,109.62006443174043,105.45985412597656,109.31459584118767,5860300
2006-06-13,101.27782440185547,105.8235077233032,100.37595683565075,105.09619839187157,15679700
2006-06-14,100.73235321044922,103.10337789006454,99.48864923721088,101.64148997227637,10541300
2006-06-15,104.81985473632812,105.59808132591563,101.87425977014942,102.11426216913435,10870200
2006-06-16,104.73257446289062,105.16168443088343,103.7216146394203,104.22346000104639,6368000
2006-06-19,104.55075073242188,106.00536987304687,103.9689008565992,105.44533839650452,6517300
2006-06-20,105.64892578125,106.179869464512,104.4343208020558,105.20526674471797,5808700
2006-06-21,108.97278594970703,109.32917160724014,105.82353441843219,106.01991109485756,7645900
2006-06-22,107.86724853515625,109.4600577963555,106.87810736962693,108.88548828965232,4402000
2006-06-23,107.5835952758789,108.6600099820212,107.06721186391309,107.5326893934227,3488000
2006-06-26,109.0236587524414,109.06002643672024,107.71451090127671,108.31089875158477,3799600
2006-06-27,107.0308837890625,109.74374549953502,107.0308837890625,108.40549849415133,3666400
2006-06-28,106.5435791015625,108.00546728985104,105.51080088077009,107.2127025503352,4907100
2006-06-29,110.69648742675781,110.69648742675783,106.44173413520461,107.71452557331943,6656800
2006-06-30,109.40917205810547,111.07471716948423,108.73277949258413,110.69651308993441,5973300
2006-07-03,110.87830352783203,111.12558603295261,110.07098973934816,110.50009957432674,3250500
2006-07-05,109.78733825683594,110.33282023999132,109.09639663107765,110.33282023999132,4478600
2006-07-06,109.51828002929688,110.7692534191833,109.24189883217714,110.76197322060835,3441000
2006-07-07,108.01268768310547,109.46003701831064,107.96178180886679,109.10365150720823,3618700
2006-07-10,108.26004791259766,109.39464921264359,107.75820246883931,108.55096733901696,2946100
2006-07-11,108.12910461425781,108.36911808673031,106.58721198876933,107.93272793716895,3817200
2006-07-12,105.6562728881836,108.53641280356408,105.51081318198953,108.15093958811096,4300100
2006-07-13,103.67797088623047,105.60533661170604,103.35068383256547,104.75438583303217,6116700
2006-07-14,101.89607238769531,104.36892041839359,101.07420904493118,104.0780010375572,5659400
2006-07-17,102.45610809326172,103.47434827439416,101.24150229469777,101.89608764639677,4528700
2006-07-18,103.52520751953125,103.62703038196521,101.75057097608838,102.27423458228004,5874300
