ticker,window,mape,dir_acc,variance_ratio
^GSPC,0,2.5877370834350586,45.3125,0.05698566
^GSPC,1,1.9645658731460571,55.46875,0.49598324
^GSPC,2,3.3700437545776367,46.09375,0.08095624
^GSPC,3,3.825862407684326,49.21875,0.082018934
^GSPC,4,5.880832195281982,46.09375,0.068311565
^GSPC,5,9.302321434020996,57.03125,0.016726846
^GSPC,6,6.999735355377197,41.40625,0.0016564551
^GSPC,7,5.710574626922607,52.34375,0.007729876
^GSPC,8,4.28123664855957,59.375,0.0039087576
^GSPC,9,5.176567077636719,56.25,0.07552427
^GSPC,10,3.270946502685547,48.4375,0.029975738
^GSPC,11,3.3478288650512695,64.84375,0.052003186
^GSPC,12,3.164846420288086,50.78125,0.019013919
^GSPC,13,5.56942892074585,50.0,0.0038894636
^GSPC,14,7.642091751098633,52.34375,0.0040527363
AAPL,0,4.244082927703857,48.4375,0.021422425
AAPL,1,3.4793944358825684,46.09375,0.024164172
AAPL,2,11.69165325164795,57.03125,0.011103016
AAPL,3,16.410646438598633,45.3125,0.008316507
AAPL,4,14.800763130187988,49.21875,0.0022969297
AAPL,5,8.338637351989746,48.4375,0.0021676829
AAPL,6,5.776815891265869,50.78125,0.014560129
AAPL,7,10.207447052001953,45.3125,0.01791812
AAPL,8,21.482656478881836,46.875,0.017303301
AAPL,9,7.432216644287109,49.21875,0.009100542
AAPL,10,5.042341709136963,43.75,0.0037448194
AAPL,11,3.402022361755371,58.59375,0.013652155
AAPL,12,3.5727803707122803,40.625,0.013002487
AAPL,13,11.787296295166016,50.0,0.009440529
AAPL,14,19.921955108642578,54.6875,0.0010995817
JNJ,0,12.42657470703125,54.6875,0.0022081763
JNJ,1,13.297745704650879,42.1875,0.00090862525
JNJ,2,15.396465301513672,45.3125,0.0022252141
JNJ,3,15.671418190002441,51.5625,0.004366687
JNJ,4,13.497279167175293,46.875,0.0009119857
JNJ,5,9.265826225280762,50.78125,0.0011406507
JNJ,6,5.636832237243652,46.875,0.014074815
JNJ,7,4.569699764251709,43.75,0.00075373874
JNJ,8,5.633932113647461,52.34375,0.006887893
JNJ,9,3.417293071746826,42.96875,0.02108244
JNJ,10,4.446244716644287,60.15625,0.0012774294
JNJ,11,4.295498847961426,44.53125,0.011405996
JNJ,12,4.168989658355713,43.75,0.008123433
JNJ,13,6.176389217376709,55.46875,0.0093332715
JNJ,14,5.347234725952148,54.6875,0.015633032
JPM,0,4.284507751464844,45.3125,0.28473377
JPM,1,5.231945037841797,56.25,0.59842676
JPM,2,2.521233558654785,44.53125,0.6429812
JPM,3,2.086512804031372,54.6875,1.0571119
JPM,4,6.090590953826904,56.25,0.6848313
JPM,5,10.298591613769531,54.6875,0.17632751
JPM,6,9.445066452026367,42.96875,0.05254779
JPM,7,7.523736476898193,49.21875,0.1757699
JPM,8,7.532844066619873,50.78125,0.014086766
JPM,9,4.819281578063965,46.875,0.1642433
JPM,10,11.753148078918457,46.875,0.016343659
JPM,11,6.942402362823486,49.21875,0.048354615
JPM,12,4.549067497253418,56.25,0.1462038
JPM,13,5.556098937988281,44.53125,0.06657176
JPM,14,2.9141933917999268,56.25,0.2707445
XOM,0,16.92622947692871,47.65625,0.0011148506
XOM,1,13.928288459777832,53.90625,0.00020691112
XOM,2,7.289726257324219,45.3125,0.004434578
XOM,3,5.56221342086792,57.03125,0.03223333
XOM,4,6.702558517456055,47.65625,0.046488255
XOM,5,3.3238816261291504,50.0,0.050391898
XOM,6,5.175231456756592,42.96875,0.0017918441
XOM,7,3.081857681274414,46.09375,0.012171461
XOM,8,3.8015530109405518,57.03125,0.0032041941
XOM,9,8.158447265625,46.875,0.008403272
XOM,10,9.469867706298828,46.09375,0.0071475827
XOM,11,4.835931777954102,52.34375,0.0036148478
XOM,12,3.266803503036499,51.5625,0.0047018835
XOM,13,4.4673895835876465,48.4375,0.017880332
XOM,14,4.215902805328369,53.125,0.02290945
PG,0,3.8957319259643555,49.21875,0.034571476
PG,1,3.8643434047698975,58.59375,0.007182085
PG,2,3.8750157356262207,54.6875,0.0070471503
PG,3,4.321802616119385,55.46875,0.0062736277
PG,4,6.785521030426025,50.78125,0.032161675
PG,5,5.768057346343994,52.34375,0.082190946
PG,6,4.576375961303711,46.875,0.0013181155
PG,7,4.9114813804626465,44.53125,0.053265493
PG,8,2.7922821044921875,44.53125,0.00782776
PG,9,2.4197051525115967,54.6875,0.008598884
PG,10,2.122128486633301,43.75,0.010547632
PG,11,2.2125771045684814,56.25,0.027162664
PG,12,2.095864772796631,46.875,0.013224889
PG,13,2.563037633895874,43.75,0.027919479
PG,14,3.449113607406616,40.625,0.012407405
CAT,0,19.64712905883789,47.65625,0.00671713
CAT,1,20.12858009338379,46.875,0.002023066
CAT,2,23.10732650756836,47.65625,0.00049402186
CAT,3,19.1870059967041,47.65625,0.0020218084
CAT,4,22.738344192504883,50.78125,0.0008936459
CAT,5,23.91250991821289,54.6875,0.00032156566
CAT,6,13.764068603515625,50.0,0.0021914407
CAT,7,10.21390151977539,55.46875,0.0037482928
CAT,8,9.297257423400879,50.0,0.004101068
CAT,9,12.623117446899414,50.78125,0.009448757
CAT,10,9.225067138671875,57.8125,0.005925545
CAT,11,6.5308837890625,56.25,0.004684828
CAT,12,6.034639835357666,50.0,0.016793953
CAT,13,10.714815139770508,46.875,0.010265697
CAT,14,6.7338032722473145,50.0,0.020540081
NEE,0,6.143763542175293,48.4375,0.005147798
NEE,1,4.925379753112793,47.65625,0.0059597837
NEE,2,12.261821746826172,48.4375,0.0048975577
NEE,3,6.3185133934021,53.125,0.011623278
NEE,4,5.336020469665527,48.4375,0.05535524
NEE,5,8.2377347946167,53.125,0.019582141
NEE,6,3.2261714935302734,51.5625,0.24402697
NEE,7,3.142857551574707,51.5625,0.11011831
NEE,8,4.8452534675598145,42.96875,0.028977316
NEE,9,6.745237350463867,53.125,0.044208672
NEE,10,13.59264850616455,47.65625,0.00483264
NEE,11,8.588799476623535,49.21875,0.00940269
NEE,12,7.454439163208008,47.65625,0.074307114
NEE,13,4.172902584075928,50.0,0.08441024
NEE,14,12.9423189163208,60.15625,0.00904724
AMT,0,2.5898826122283936,53.125,0.0028138352
AMT,1,3.4545347690582275,43.75,0.0079449
AMT,2,9.11900520324707,49.21875,0.0024837973
AMT,3,20.42670440673828,42.96875,0.026900092
AMT,4,7.799705982208252,47.65625,0.001419955
AMT,5,6.413562774658203,53.125,0.0069073797
AMT,6,3.261538505554199,57.8125,0.0071275
AMT,7,10.667885780334473,50.78125,0.0016332156
AMT,8,10.85017204284668,46.875,0.0014749878
AMT,9,7.1342692375183105,51.5625,0.0014199368
AMT,10,8.479631423950195,46.875,0.0063959635
AMT,11,10.633926391601562,53.125,0.0011630104
AMT,12,7.27183723449707,53.90625,0.007119803
AMT,13,8.775651931762695,50.0,0.0055897976
AMT,14,18.33941650390625,56.25,0.0011766256
WMT,0,13.870382308959961,43.75,0.008536131
WMT,1,9.189729690551758,49.21875,0.035936195
WMT,2,9.968103408813477,54.6875,0.04310177
WMT,3,6.0523600578308105,46.875,0.050941758
WMT,4,2.8261146545410156,42.1875,0.23437952
WMT,5,3.592900514602661,46.09375,0.9545564
WMT,6,3.965609073638916,52.34375,0.4661559
WMT,7,15.032831192016602,44.53125,0.92157537
WMT,8,5.481904983520508,52.34375,0.4586974
WMT,9,6.335854530334473,53.90625,0.26184294
WMT,10,6.435032844543457,46.09375,0.23350865
